Nome,name,Cargo,Sexo,Partido,ideologia,ColigaCAo,PartidoCol1,PartidoCol2,PartidoCol3,PartidoCol4,PartidoCol5,PartidoCol6,PartidoCol7,SituaCAo,GraudeInstruCAo,OcupaCAo,OcupaCAoComplementar,EstadoCivil,DatadeNascimento,Cadeiras_por_estado,NUmerodoCandidato,migrant1,n_mudan1,senti11,Vereador,DepEstadual,CargExecEletivoSubNacional,CargExecEletivoNacional,CargExecNEletivoSubNacional,CargExexNEletivoNacional,PresidenteEstatal,Senado,Suplente,Idade,Escandalo,Identidade_religiosa,Migrante,n_mudanC,sentid1,GrupoEtario,MacroregiOes,Cargo_ComissAo,coalgov,UF,pobreza,votos02,votos06,aumevot0206,Eleito,ReeleiCAo,mesa,lideranC,dimivot0206,escandalo2,reeleito,mensalao,sangues,temsuper,votes,list.uf,list.coli,poverty.state,support,pork,despesa
ACACIO MARQUES,ACACIO MARQUES,Deputado Federal,Masculino,PTC,1,PSDC / PTC / PRONA,PSDC,PTC,PRONA,NA,NA,NA,NA,Deferido,Ensino Fundamental completo,PublicitArio,Outros,Casado(a),26-Aug-60,53,3611,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,46,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,98442,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,2022.5
ACELIO CASAGRANDE,ACELIO CASAGRANDE,Deputado Federal,Masculino,PMDB,1,PMDB / PFL / PSDB / PPS,PMDB,PFL,PSDB,PPS,NA,NA,NA,Deferido,Superior completo,Administrador,Outros,Solteiro(a),1-Dec-61,16,1530,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SC,0.12,NA,932,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,73800
ACIR DOS SANTOS,ACIR FILO,Deputado Federal,Masculino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior incompleto,Comerciante,Outros,Solteiro(a),13-Mar-72,70,1291,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,34,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,"indepentes (pps, pdt, pv)",SP,0.14,NA,79235,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,15394.89
ADA MARIA NOGUEIRA DA SILVA,ADA,Deputado Federal,Feminino,PHS,1,PT / PSB / PTB / PC do B / PP / PTN / PHS / PRP,PT,PSB,PTB,PC do B,PP,PTN,PHS,Deferido,Ensino Fundamental incompleto,Comerciante,Outros,Solteiro(a),20-Feb-62,8,3133,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Centro-oeste,NA,pequenos partidos,MS,0.25,NA,106593,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,1100
ADACIR GERALDO CARLOTTO,CARLOTTO,Deputado Federal,Masculino,PSDB,1,PL / PPS / PFL / PSDB,PL,PPS,PFL,PSDB,NA,NA,NA,Deferido,Superior incompleto,"Corretor de ImOveis, Seguros, TItulos",Outros,Casado(a),16-Feb-60,31,4527,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,46,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,"oposiCAo (pfl, psdb)",RS,0.18,NA,65576,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,12218
ADAILSON RABELLO DE SOUSA,RABELLO,Deputado Federal,Masculino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Outros,Outros,Casado(a),5-Feb-58,70,1286,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,48,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"indepentes (pps, pdt, pv)",SP,0.14,NA,143800,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
ADAILTO BARROS DE SOUSA,ADAILTO BARROS,Deputado Federal,Masculino,PT,0,PRB / PT / PMDB / PSB / PC do B,PRB,PT,PMDB,PSB,PC do B,NA,NA,Indeferido com recurso,Ensino Fundamental incompleto,Comerciante,Outros,Casado(a),20-Apr-62,12,1377,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Nordeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",PB,0.49,NA,80065,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
ADALBERTO DE AZEVEDO PINTO,BETO AZEVEDO,Deputado Federal,Masculino,PP,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Indeferido com recurso,Superior completo,Locutor e Comentarista de RAdio e TelevisAo,Outros,Casado(a),7-Apr-58,46,1141,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,48,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",RJ,0.17,NA,138498,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
ADALBERTO INSARDI,CAPITAO INSARDI,Deputado Federal,Masculino,PTN,1,PTN / PRP / PT do B,PTN,PRP,PT do B,NA,NA,NA,NA,Deferido,Superior completo,Policial Militar,Militar da ativa,Casado(a),22-Nov-60,70,1922,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,45,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,106165,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,997.79
ADALBERTO LELIS FILHO,BETO LELIS,Deputado Federal,Masculino,PDT,0,PDT / PSC / PRTB,PDT,PSC,PRTB,NA,NA,NA,NA,Deferido,Ensino Fundamental completo,Desenhista,Outros,Casado(a),19-Jul-56,39,1250,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,50,NAo,NA,NAo,NA,NA,41 a 50 anos,Nordeste,NA,"indepentes (pps, pdt, pv)",BA,0.473,NA,118258,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,18695.34
