Nome,name,Cargo,Sexo,Partido,ideologia,ColigaCAo,PartidoCol1,PartidoCol2,PartidoCol3,PartidoCol4,PartidoCol5,PartidoCol6,PartidoCol7,SituaCAo,GraudeInstruCAo,OcupaCAo,OcupaCAoComplementar,EstadoCivil,DatadeNascimento,Cadeiras_por_estado,NUmerodoCandidato,migrant1,n_mudan1,senti11,Vereador,DepEstadual,CargExecEletivoSubNacional,CargExecEletivoNacional,CargExecNEletivoSubNacional,CargExexNEletivoNacional,PresidenteEstatal,Senado,Suplente,Idade,Escandalo,Identidade_religiosa,Migrante,n_mudanC,sentid1,GrupoEtario,MacroregiOes,Cargo_ComissAo,coalgov,UF,pobreza,votos02,votos06,aumevot0206,Eleito,ReeleiCAo,mesa,lideranC,dimivot0206,escandalo2,reeleito,mensalao,sangues,temsuper,votes,list.uf,list.coli,poverty.state,support,pork,despesa
CARLOS ROBERTO GARCIA CUNHA,CARLOS CUNHA,Deputado Federal,Masculino,PT do B,2,PTN / PRP / PT do B,PTN,PRP,PT do B,NA,NA,NA,NA,Deferido,Superior completo,EmpresArio,Outros,Casado(a),11-Apr-58,70,7080,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,48,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CARLOS ROBERTO MACIEL,DR CARLOS MACIEL,Deputado Federal,Masculino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),6-Oct-52,70,1236,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,53,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"indepentes (pps, pdt, pv)",SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,25497.03
CARLOS ROBERTO MASSA JUNIOR,RATINHO JUNIOR,Deputado Federal,Masculino,PPS,1,PPS / PFL,PPS,PFL,NA,NA,NA,NA,NA,Deferido,Superior completo,Deputado,Outros,Solteiro(a),19-Apr-81,30,2340,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NAo,25,NAo,NA,NAo,NA,NA,21 a 30 anos,Sul,NA,"indepentes (pps, pdt, pv)",PR,0.18,NA,205286,NA,Sim,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,2544494.73
CARLOS ROBERTO RONCONI,RONCONI,Deputado Federal,Masculino,PTC,1,PDT / PAN / PTC,PDT,PAN,PTC,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Locutor e Comentarista de RAdio e TelevisAo,Outros,Casado(a),9-Jan-49,8,3644,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,57,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,NA,pequenos partidos,RN,0.42,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CARLOS ROCHA DIAS,ROCHA,Deputado Federal,Masculino,PSB,0,PSC / PSB / PHS,PSC,PSB,PHS,NA,NA,NA,NA,Deferido,Ensino MEdio incompleto,Comerciante,Outros,Casado(a),4-Feb-67,53,4060,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,39,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CARLOS SEBASTIAO BARBOSA ROSAS,CARLOS ROSA,Deputado Federal,Masculino,PRB,2,PRB / PTN / PRTB,PRB,PTN,PRTB,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Trabalhador Florestal,Outros,Divorciado(a),24-Aug-48,46,1007,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,58,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CARLOS SEBASTIAO VASCONCELOS PRATA,GRANDE OTELO FILHO,Deputado Federal,Masculino,PTB,2,PTB / PAN,PTB,PAN,NA,NA,NA,NA,NA,Deferido,Ensino Fundamental completo,"TEcnico de Eletricidade, Eletrénica e TelecomunicaCOes",Outros,Casado(a),13-Aug-55,46,1408,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,51,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CARLOS VASCONCELOS DOS SANTOS,CARLOS VASCONCELOS,Deputado Federal,Masculino,PPS,1,PP / PTB / PTN / PL / PPS / PAN / PRTB / PHS / PMN / PV / PRP / P,PP,PTB,PTN,PL,PPS,PAN,PRTB,Deferido,Superior completo,OdontOlogo,Outros,Solteiro(a),14-May-56,17,2323,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,50,NAo,NA,NAo,NA,NA,41 a 50 anos,Centro-oeste,NA,"indepentes (pps, pdt, pv)",GO,0.222,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CARLOS WILLIAN DE SOUZA,CARLOS WILLIAN,Deputado Federal,Masculino,PTC,1,PSDC / PTC / PRONA,PSDC,PTC,PRONA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),1-Aug-56,53,3636,Sim,> ou = 4 mudanCas,oposiCAo/oposiCAo,Sim,NAo,NAo,NAo,NAo,NAo,SI,NAo,NAo,50,NAo,NA,Sim,> ou = 4 mudanCas,oposiCAo/oposiCAo,41 a 50 anos,Sudeste,3_ Vice-Presidente,pequenos partidos,MG,0.25,111572,35681,0,Sim,Sim,NAo Participou,NAo Participou,0,Nao,Sim,NAo,NAo,1,111572,17,2,19.8,0.39,NA,121997.93
CARLOS WILSON ROCHA DE QUEIROZ CAMPOS,CARLOS WILSON,Deputado Federal,Masculino,PT,0,PRB / PT / PTB / PMN / PC do B,PRB,PT,PTB,PMN,PC do B,NA,NA,Deferido,Superior incompleto,Ocupante de Cargo em ComissAo,Outros,Separado(a) judicialmente,11-Mar-50,25,1315,NAo,NA,NA,NAo,NAo,Sim,NAo,NAo,Sim,NAo,SI,NA,56,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",PE,0.49,NA,141203,NA,Sim,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,570017.98
CARMERALDO BRANDAO,CARMERALDO BRANDAO,Deputado Federal,Masculino,PTC,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Professor de Ensino Fundamental,Outros,Separado(a) judicialmente,23-Aug-66,16,3637,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,40,NAo,NA,NAo,NA,NA,31 a 40 anos,Sul,NA,pequenos partidos,SC,0.12,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CAROLINA MARIA SANTANA STEFANINI,CAROLINE STEFANINI,Deputado Federal,Feminino,PRONA,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Gerente,Outros,Solteiro(a),22-Sep-61,46,5687,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,45,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CASSIA MARIA ORTIZ,CASSIA ORTIZ,Deputado Federal,Feminino,PV,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Auxiliar de EscritOrio e Assemelhados,Outros,Casado(a),7-Apr-68,70,4329,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,38,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,"indepentes (pps, pdt, pv)",SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CASSIA REGINA DE JESUS MARTINS,CASSIA,Deputado Federal,Feminino,PRONA,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,MEdico,Outros,Solteiro(a),21-May-71,70,5612,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,35,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,1019.2
CASSIO MURILO DE OLIVEIRA,CASSIO MURILO,Deputado Federal,Masculino,PSOL,0,PSTU / PSOL,PSTU,PSOL,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,TEcnico em EdificaCOes,Outros,Casado(a),16-Jun-71,53,5002,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,35,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CASSIO SANTOS MACHADO,CASSIO MACHADO,Deputado Federal,Masculino,PV,1,PMDB / PPS / PSB / PV,PMDB,PPS,PSB,PV,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Divorciado(a),24-Dec-71,39,4300,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,34,NAo,NA,NAo,NA,NA,31 a 40 anos,Nordeste,NA,"indepentes (pps, pdt, pv)",BA,0.473,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,3350
CASSIO SILVA MOREIRA,PROF. CASSIO MOREIRA,Deputado Federal,Masculino,PSOL,0,PCB / PSOL,PCB,PSOL,NA,NA,NA,NA,NA,Deferido,Superior completo,Servidor PUblico Federal,Servidor Publico Civil,Solteiro(a),5-May-76,31,5011,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,30,NAo,NA,NAo,NA,NA,21 a 30 anos,Sul,NA,pequenos partidos,RS,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,250
CASSIO TANIGUCHI,CASSIO TANIGUCHI,Deputado Federal,Masculino,PFL,2,PPS / PFL,PPS,PFL,NA,NA,NA,NA,NA,Deferido,Superior completo,Engenheiro,Outros,Casado(a),30-Oct-41,30,2522,NAo,NA,NA,NAo,NAo,Sim,NAo,Sim,NAo,NAo,SI,NA,64,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,NA,"oposiCAo (pfl, psdb)",PR,0.18,NA,67821,NA,Sim,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,319450
CATIA CRISTINA SANTOS DA SILVA,CATIA SANTOS,Deputado Federal,Feminino,PRONA,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,"Estudante, Bolsista, EstagiArio e Assemelhados",Outros,Casado(a),23-Nov-76,70,5677,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,29,NAo,NA,NAo,NA,NA,21 a 30 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CAUE LIMA CANABARRO,CAUE CANABARRO,Deputado Federal,Masculino,PT,0,PT / PC do B,PT,PC do B,NA,NA,NA,NA,NA,Deferido,Superior incompleto,"Estudante, Bolsista, EstagiArio e Assemelhados",Outros,Solteiro(a),7-Aug-79,31,1323,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,27,NAo,NA,NAo,NA,NA,21 a 30 anos,Sul,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",RS,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,3329.22
CECI VIEIRA JURUA,CECI,Deputado Federal,Feminino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Economista,Outros,Solteiro(a),14-Oct-42,46,1227,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,63,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"indepentes (pps, pdt, pv)",RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,968.6
CECILIA FERREIRA LOPES,CECI CHANG,Deputado Federal,Feminino,PMN,1,PTN / PMN / PTC / PRONA / PT do B,PTN,PMN,PTC,PRONA,PT do B,NA,NA,Deferido,Superior incompleto,"Estudante, Bolsista, EstagiArio e Assemelhados",Outros,Casado(a),21-Nov-64,30,3301,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,41,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,pequenos partidos,PR,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,925
CECILIO DE JESUS GAETA,JESUS GAETA,Deputado Federal,Masculino,PTB,2,PMDB / PL / PTB,PMDB,PL,PTB,NA,NA,NA,NA,Deferido,Superior completo,Jornalista e Redator,Outros,Casado(a),22-Nov-37,8,1401,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,68,NAo,NA,NAo,NA,NA,65 anos ou mais,Centro-oeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",MT,0.24,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CELCITA ROSA PINHEIRO DA SILVA,CELCITA PINHEIRO,Deputado Federal,Feminino,PFL,2,PP / PFL,PP,PFL,NA,NA,NA,NA,NA,Deferido com recurso,Superior completo,Servidor PUblico Civil Aposentado,Outros,Casado(a),22-Dec-43,8,2527,NAo,NA,NA,NAo,NAo,NAo,NAo,NAo,NAo,SI,NAo,NAo,62,Sanguesuga,NA,NAo,NA,NA,51 a 65 anos,Centro-oeste,2_ Vice-Presidente,"oposiCAo (pfl, psdb)",MT,0.24,59665,46517,0,NAo,Sim,NAo Participou,NAo Participou,0,Sim,NAo,2,Sim,1,59665,7,2,21.03,0.5,1,387540
CELESTE ALFREDO FERNANDES,TIA CELESTE FERNANDES,Deputado Federal,Feminino,PTC,1,PSDC / PTC / PRONA,PSDC,PTC,PRONA,NA,NA,NA,NA,Deferido,Superior completo,Professor de Ensino Fundamental,Outros,Solteiro(a),23-Aug-53,53,3645,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,53,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CELIA ALVES,CELIA ALVES,Deputado Federal,Feminino,PSB,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino Fundamental completo,Dona de Casa,Outros,Casado(a),10-Jul-53,70,4096,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,53,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CELINA SANTOS DE OLIVEIRA,MINHA,Deputado Federal,Feminino,PT do B,2,PSL / PT do B,PSL,PT do B,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Outros,Outros,Divorciado(a),14-Nov-57,46,7076,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,48,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CELIO CARMO DE SOUSA,TENENTE CELIO,Deputado Federal,Masculino,PSB,0,PP / PTB / PSC / PL / PSB / PV / PSDB / PT do B,PP,PTB,PSC,PL,PSB,PV,PSDB,Deferido,Superior completo,Servidor PUblico Estadual,Outros,Casado(a),15-Jun-66,8,4040,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,40,NAo,NA,NAo,NA,NA,31 a 40 anos,Norte,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",TO,0.37,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,115218.5
CELIO CELSO BECKMANN,DR. CELIO,Deputado Federal,Masculino,PDT,0,PDT / PSC,PDT,PSC,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),24-May-45,8,1200,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,61,NAo,NA,NAo,NA,NA,51 a 65 anos,Centro-oeste,NA,"indepentes (pps, pdt, pv)",MT,0.24,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CELIO DE CARVALHO MACIEL,CELIO MACIEL,Deputado Federal,Masculino,PL,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Indeferido com recurso,Superior completo,Advogado,Outros,Casado(a),7-Jan-61,46,2266,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,45,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"oposiCAo (pfl, psdb)",RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CELIO NATERA PEGORARI,DR. CELIO DA FARMACIA,Deputado Federal,Masculino,PPS,1,PPS / PFL,PPS,PFL,NA,NA,NA,NA,NA,Deferido,Superior completo,FarmacEutico,Outros,Casado(a),9-May-64,30,2351,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,42,NAo,NA,NAo,NA,NA,41 a 50 anos,Sul,NA,"indepentes (pps, pdt, pv)",PR,0.18,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CELIO ROBERTO DE LIMA,CELIO ROBERTO,Deputado Federal,Masculino,PAN,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Motorista de VeIculos de Transporte Coletivo de Passageiros,Outros,Casado(a),20-Jan-58,70,2678,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,48,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CELIO TEIXEIRA DE SOUZA,CELIO TEIXEIRA,Deputado Federal,Masculino,PPS,1,PDT / PMDB / PPS,PDT,PMDB,PPS,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Vereador,Outros,Casado(a),5-Feb-66,8,2345,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,40,NAo,NA,NAo,NA,NA,31 a 40 anos,Norte,NA,"indepentes (pps, pdt, pv)",AC,0.416,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CELIO UBIRAJARA ARAUJO DIAS,JARA,Deputado Federal,Masculino,PL,2,PT / PL / PC do B,PT,PL,PC do B,NA,NA,NA,NA,Deferido,Superior completo,Jornalista e Redator,Outros,Solteiro(a),5-Aug-65,8,2256,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,41,NAo,NA,NAo,NA,NA,41 a 50 anos,Norte,NA,"oposiCAo (pfl, psdb)",AP,0.34,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CELIS SANTIN BORGES,CELIS,Deputado Federal,Feminino,PMN,1,PTN / PPS / PAN / PRTB / PMN / PTC / PSB / PV,PTN,PPS,PAN,PRTB,PMN,PTC,PSB,Deferido,Ensino MEdio completo,Pecuarista,Outros,ViUvo(a),5-Sep-58,8,3333,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,48,NAo,NA,NAo,NA,NA,41 a 50 anos,Centro-oeste,NA,pequenos partidos,MT,0.24,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,11499.49
CELSO BARROS COELHO,CELSO BARROS,Deputado Federal,Masculino,PMDB,1,PP / PMDB / PSC / PCB / PAN / PTC,PP,PMDB,PSC,PCB,PAN,PTC,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),11-May-22,10,1580,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,84,NAo,NA,NAo,NA,NA,65 anos ou mais,Nordeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",PI,0.51,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,53399.47
CELSO CORREA PINHO,CELSO PINHO,Deputado Federal,Masculino,PSDB,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Divorciado(a),4-Mar-50,18,4556,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,56,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,NA,"oposiCAo (pfl, psdb)",MA,0.54,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,17199.51
CELSO CRUZ DE CARVALHO,CELSO CRUZ,Deputado Federal,Masculino,PTN,1,PTN / PPS / PFL / PAN / PV / PRONA,PTN,PPS,PFL,PAN,PV,PRONA,NA,Deferido,Superior completo,Engenheiro,Outros,Solteiro(a),1-Aug-61,8,1919,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,45,NAo,NA,NAo,NA,NA,41 a 50 anos,Norte,NA,pequenos partidos,RO,0.33,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,NA
CELSO FERNANDES,CELSO FERNANDES,Deputado Federal,Masculino,PRONA,2,PSDC / PTC / PRONA,PSDC,PTC,PRONA,NA,NA,NA,NA,Deferido,Ensino Fundamental incompleto,Agricultor,Outros,Casado(a),26-Apr-62,53,5633,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,850
CELSO GONCALVES,DR. CELSO,Deputado Federal,Masculino,PSB,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Casado(a),12-May-48,70,4025,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,58,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,12999.35
CELSO HENRIQUE PACHECO LEITE,CABO PACHECO,Deputado Federal,Masculino,PRP,2,PTN / PRTB / PRP / PT do B,PTN,PRTB,PRP,PT do B,NA,NA,NA,Deferido,Ensino MEdio completo,Policial Militar,Militar da ativa,Divorciado(a),12-Oct-60,53,4410,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,45,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CELSO MALDANER,CELSO MALDANER,Deputado Federal,Masculino,PMDB,1,PMDB / PFL / PSDB / PPS,PMDB,PFL,PSDB,PPS,NA,NA,NA,Deferido,Superior completo,EmpresArio,Outros,Casado(a),30-Aug-53,16,1560,NAo,NA,NA,SI,SI,Sim,SI,Sim,SI,SI,SI,NA,53,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SC,0.12,NA,65770,NA,Sim,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,323840.43
CELSO MAXIMO DE OLIVEIRA,CELSOMAX,Deputado Federal,Masculino,PSC,2,PSC / PSB / PHS,PSC,PSB,PHS,NA,NA,NA,NA,Deferido,Ensino Fundamental incompleto,Locutor e Comentarista de RAdio e TelevisAo,Outros,Separado(a) judicialmente,22-Nov-65,53,2026,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,40,NAo,NA,NAo,NA,NA,31 a 40 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CELSO REIS RESINENTE,CELSO PIPOCA,Deputado Federal,Masculino,PRONA,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior incompleto,Administrador,Outros,Casado(a),24-Nov-52,46,5658,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,53,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,RJ,0.17,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
CELSO ROBERTO PITTA DO NASCIMENTO,CELSO PITTA,Deputado Federal,Masculino,PTB,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Economista,Outros,Separado(a) judicialmente,29-Sep-46,70,1488,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,59,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",SP,0.14,NA,NA,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,94506.42
